Table 1
序号,股票名称,代码,主营业务,"注册地/
受理法院",股本,控股股东性质,预重整,,,,,,,,正式重整,,,,,,,重整计划执行完成,产投价格（元/股）及公告时间,,财投价格（元/股）及公告时间,,产业方行业,申请撤销风险警示、退市风险的公告,摘星时间,摘帽时间,财投解禁时间,财投价格买入触发价格,立案与处罚,其他机会,波段整理与总结,,带星戴帽,被st原因,备注,策略梳理,财投价格买入触发价格（25%）,建仓价格2
,,,,,,,申请预重整,受理预重整,指定临时管理人,"招募预重整
投资人",关于招募进展的公告,预重整签署投资协议,公告预重整计划草案,投票通过重整计划草案,法院受理重整,招募重整投资人,关于招募进展的公告,签署重整投资协议,公告重整计划草案,投票通过重整计划,批准重整计划,,,,,,,,,,,,,,被申请到签预重整协议,法院受理到重整结束,,,,,,
14,ST张家界,000430,,,,国资委,/,10/18/24,10/18/24,10/29/24,1/7/25,,,,,,,,,,,,,,,,,,,,,0,,,,,法院受理破产时，没有带星戴帽，4月16日年报后，戴帽，股票连续跌停，从10.09元跌到6.6。触发买入时机,,,4.24日买入,,
15,ST东易,002713,,,,,10/18/24,10/19/24,11/7/24,11/30/24,1/3/25,3/19/25,,,,,,,,,,,2.3,3/19/25,3,4/17/25,,,,,,3.75,,,,,法院受理破产时，没有带星戴帽，4月29日年报公告，带星戴帽，没跌，一直涨。,,,,3.75,4.5
16,华闻集团,000793,,,,国资委,10/22/24,10/26/24,10/26/24,12/26/24,,5/7/25,,,,,,,,,,,1.2209,5/7/25,1.65,,,,,,,2.0625,"2024-10-26收到证监会《立案告知书》，信披违规。
2025-3-4收到海南证监局《行政处罚事先告知书》，公司将戴帽。2025-4-23收到海南证监局《行政处罚决定书》",,,,因财务数据问题被戴帽，公告后6个跌停，价格从2.83跌到2块。触发买点。,,,,,2.55
17,ST美谷,000615,,,,,11/19/24,12/4/24,12/6/24,12/14/24,1/8/25,"2025-4-24
2025-4-29",,,,,,,,,,,1.87,4/24/25,2.4,4/29/25,,,,,,3,"2025-4-2收到警示函的公告
2025-4-7公告《行政处罚事先告知书》。2023-8-8收到证监会的《立案告知书》，信披违法违规。8月10日公告。用时18个月。
2025-6-10收到湖北监管局《行政处罚决定书》",,,,受理时，已经是st，4.29公告带星。戴帽前3个跌停。,,,,3,
18,炼石航空,000697,,,,,1/4/25,6/7/25,6/7/25,6/21/25,,,,,,,,,,,,,,,,,,,,,,0,,,,,申请破产时，公司没有带星戴帽。于25年4月18日带星戴帽，4个跌停，价格到6.1元。触发买点。,,,,,
19,ST香雪,300147,,,,,2/6/25,4/14/25,4/14/25,,,,,,,,,,,,,,,,,,,,,,,0,2025-3-21收到《行政处罚告知书》虚假记载。,,,,被申请破产时，未带星戴帽，3月25日因处罚戴帽。2个20%跌停，价格从10.45到6.42,,,,,
20,ST纳川,300198,,,,,3/18/25,3/19/25,3/19/25,3/25/25,4/22/25,6/13/25,,,,,,,,,,,,,1.68,,,,,,,2.1,,,,,4月29日公告戴帽。戴帽当天触发买点。,,,"1.4.29日建仓，成本2.3。6.16日清仓，19.05%盈利。
2.6.19再次建仓，成本2.54",2.21,2.3
21,金通灵,300091,,,,,3/31/25,4/4/24,4/4/24,4/7/24,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
22,*ST交投,002200,,,,,4/24/25,6/5/25,6/5/25,6/14/25,,,,,,,,,,,,,,,,,,,,,,0,,,,,被申请破产时，已戴帽。在年报公告日，4月17日，带星，而后一直涨停。,,,,,
23,ST长药,300391,,,,,1/21/25,1/21/25,1/21/25,1/23/25,,5/8/25,,,,,,,,,,,2.42,,2.42,5/8/25,,,,,,3.025,,,,,受理时，没有带星戴帽。4月22日公告财报，带星戴帽，因前期价格调整，当日低开高走。跌停价格3.62元，涨到最高5.7日，5.8日宣布产投后开始跌。,,,"1.4月22复牌时买入，4元成本，5.7日、5.8日卖出。
2.6月9日，4.59建仓",3.025,4
24,*ST新研,300159,,,,,6/4/25,6/6/25,6/6/25,6/12/26,7/1/25,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
26,瑞和股份,002620,,广东'深圳,,,2/18/25,6/19/25,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
25,赛为智能,300044,,广东'深圳,,,3/19/25,7/23/25,7/23/25,,,,,,,,,,,,,,,,,,,,,,,0,,,,,被申请破产时，没有带星戴帽。4月24日公告年报时带星戴帽，股价从5.78跌到2.96。,,,,,
27,*st新元,300472,硅能源、智能装备,江西抚州,2.75亿,民营企业,6/30/25,7/4/25,7/4/25,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
28,st东时,603377,驾校,北京,7.15亿,民营企业,7/9/25,7/11/25,7/11/25,7/12/25,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
